facility_id,facility_name,facility_capacity
2729,"Taylored Education, LLC /DBA The Goddard School",94
2856,TeleTots By Reggio's Treehouse,24
1810,Temple Sinai Nursery School,150
2352,Terri Denice Boyd,5
2632,The Britleys for Toddlers,18
2852,"The Britleys School, Inc",31
1861,The Child Center B/A School Program,50
2878,The Children's House by Reggio's Treehouse,36
1777,The Children's House Of Washington,27
2256,"The Clark Inn of Samaritan Inns, Inc",21
1760,"The Community Preschool Of Palisades, Inc.",50
1890,The Franklin Montessori School,216
2165,The French Maternal School @ N Street,60
1819,The Georgetown Montessori School Inc.,42
2257,The Happy Kids Learning Center,70
1957,The Harbor At Station Place,88
2677,The Hill Havurah - Gan Shalom Cooperative Preschool,24
1750,The Hill Preschool,54
2091,The Ideal Child Care Development Center II,48
2812,The Learning Curve  CDC IV,16
2659,The Learning Curve CDC,39
2806,The Learning Curve III,20
2744,The Montessori School of Washington,32
1875,"The River School, Inc.",220
2625,This Little Light Child Development Home Inc.,6
2220,Thurgood Marshall Child Development  Center,70
2524,Timothy Goodwin  @ Jack And Jill Academy ,6
1776,"Tiny Findings, Inc.",126
2331,Tiny Tots Childcare Development Home LLC,6
2840,Titi's Happy Hearts/Deborah Berhane,9
2125,TMEHI/ASA Early Learning Academy,18
2621,Toddlers On The Hill ,56
2595,"Tomorrow's Promise Child Development Home, Inc.",12
2866,Tomorrow's Promise Learning Center,44
2623,"Towana McMickens/Kiddie Academy Child Development, LLC",9
1845,Triangle Tots,120
2151,Trusting Hands Child Development Center,20
1843,Tucker's Day Care Center I,55
1969,Tucker's Day Care Center II,55
2707,Two Birds Tenleytown ,93
2773,Tyraee Carter / The Carter's Heaven Arms,4
1726,"Ujamaa School, Inc.",14
2159,UPO @ Anacostia High School,24
2219,UPO @ Atlantic Garden Early Childhood Center,20
2128,UPO @ Azeeze Bates,65
2234,UPO @ Ballou High School,30
2753,UPO @ C. W. Harris Elementary School,16
2863,UPO @ Coolidge High School,8
2173,UPO @ Dunbar High School,10
